,operator,well_name,latitude,longitude,API.1
178,CONTINENTAL RESOURCES,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'47.971""W",33-105-02727
179,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
180,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
181,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
182,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
183,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
184,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
185,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
186,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
187,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
188,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
189,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
190,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
191,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
192,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
193,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
194,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
195,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
196,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
197,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
198,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
199,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
200,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
201,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
202,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
203,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
204,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
205,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
206,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
207,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
208,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
209,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
210,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
211,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
212,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
213,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
214,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
215,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
216,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
217,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
218,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
219,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
220,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
221,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
222,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
223,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
224,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
225,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
226,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
227,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
228,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
229,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
230,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
231,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
232,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
233,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
234,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
235,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
236,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
237,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
238,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
239,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
240,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
241,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
242,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
243,CONTINENTAL RESOURCES,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
